5432
Atoms. Timestep: 0
CA 0.00011477 1.21256 3.4001
CA 0.700032 4.12582e-06 3.40056
CA 2.10012 2.02822e-05 3.40544
CA 2.80012 1.2127 3.40389
CA 4.20012 1.21252 3.40191
CA 4.90001 9.36153e-05 3.40093
CA 6.30001 2.83133e-05 3.39866
CA 6.99996 1.21247 3.39592
CA 8.39988 1.21262 3.39547
CA 9.1 5.13562e-05 3.39983
CA 10.4999 0.00023385 3.4032
CA 11.1999 1.21273 3.4015
CA 12.5999 1.21272 3.3982
CA 13.2998 0.000201628 3.39967
CA 14.6998 0.00036928 3.39816
CA 15.4 1.21274 3.39635
CA 16.8 1.21278 3.39796
CA 17.5001 0.000431167 3.39856
CA 18.9 0.00053041 3.39893
CA 19.5999 1.21276 3.39911
CA 20.9999 1.21281 3.39886
CA 21.7001 0.000294141 3.40059
CA 23.1 0.000323535 3.40042
CA 23.8 1.21268 3.39896
CA 25.2 1.21268 3.39866
CA 25.9 0.000262926 3.39923
CA 27.3 0.00028238 3.39828
CA 28 1.21268 3.39816
CA 29.3999 1.21259 3.40003
CA 30.1 0.000159928 3.40086
CA 31.5 0.000252812 3.40263
CA 32.2 1.21256 3.40222
CA 33.6001 1.21272 3.40052
CA 34.3001 0.000350649 3.39973
CA 35.7 0.000375922 3.39661
CA 36.4 1.21269 3.39635
CA 37.8001 1.21268 3.39844
CA 38.5 0.000318448 3.39853
CA 39.9 0.000327757 3.40091
CA 40.6001 1.21263 3.40196
CA 41.9999 1.21263 3.40074
CA 42.7 0.000165417 3.39992
CA 44.1 0.000223023 3.40107
CA 44.8 1.21256 3.40007
CA 46.1999 1.21269 3.39929
CA 46.8999 0.000153893 3.40069
CA 48.2999 0.000163346 3.39968
CA 49 1.21266 3.39944
CA 50.4 1.21258 3.40115
CA 51.1 0.000152911 3.40335
CA 52.4999 0.000194984 3.4037
CA 53.1999 1.21261 3.3993
CA 54.5999 1.21265 3.39456
CA 55.2999 2.98883e-05 3.3978
CA 56.7 0.000255547 3.39947
CA 57.4 1.21259 3.39981
CA 58.8 1.21269 3.4017
CA 59.5 3.21111e-05 3.40155
CA 60.9 5.26759e-05 3.40007
CA 61.6001 1.21251 3.40056
CA 0.000106264 3.6374 3.40365
CA 0.700079 2.42503 3.40055
CA 2.0999 2.42514 3.39906
CA 2.79997 3.63757 3.39762
CA 4.19988 3.63756 3.39934
CA 4.89996 2.42503 3.40036
CA 6.29993 2.42497 3.39803
CA 6.99992 3.6374 3.39925
CA 8.39984 3.6375 3.39842
CA 9.09987 2.42509 3.39522
CA 10.4999 2.42519 3.39705
CA 11.1998 3.63766 3.39537
CA 12.6001 3.63781 3.39285
CA 13.3 2.42509 3.39285
CA 14.7 2.42521 3.39475
CA 15.4001 3.63755 3.39831
CA 16.7999 3.63757 3.39939
CA 17.5 2.4251 3.39892
CA 18.9 2.42526 3.39932
CA 19.6 3.63742 3.39937
CA 20.9999 3.63756 3.39708
CA 21.7 2.42507 3.39723
CA 23.0999 2.42507 3.39726
CA 23.8 3.63747 3.39774
CA 25.2 3.63759 3.39901
CA 25.8999 2.42505 3.39811
CA 27.3 2.42515 3.3985
CA 27.9999 3.63753 3.40107
CA 29.4 3.63761 3.40196
CA 30.1 2.42496 3.40159
CA 31.5002 2.42509 3.40162
CA 32.2 3.63753 3.40082
CA 33.6 3.63742 3.39949
CA 34.3001 2.425 3.39904
CA 35.6999 2.42509 3.39705
CA 36.4 3.63735 3.39786
CA 37.8 3.63753 3.39935
CA 38.5 2.42502 3.40052
CA 39.9001 2.42505 3.40225
CA 40.6 3.63738 3.40106
CA 42 3.63742 3.40037
CA 42.7 2.42493 3.40048
CA 44.0999 2.42495 3.39959
CA 44.7999 3.63744 3.4001
CA 46.1999 3.63746 3.40001
CA 46.8999 2.42503 3.39869
CA 48.2999 2.42515 3.39911
CA 49 3.63744 3.39958
CA 50.4 3.63755 3.39958
CA 51.1 2.42513 3.40141
CA 52.5 2.42509 3.40045
CA 53.2 3.63744 3.39996
CA 54.6 3.63762 3.39938
CA 55.3001 2.42518 3.39578
CA 56.7 2.42522 3.39884
CA 57.4 3.63759 3.40084
CA 58.7999 3.63766 3.40151
CA 59.4999 2.42502 3.40217
CA 60.8998 2.42504 3.40247
CA 61.5999 3.63746 3.40426
CA 62.9998 6.06223 3.39989
CA 0.699985 4.84987 3.40085
CA 2.09991 4.84998 3.39819
CA 2.79995 6.06234 3.39829
CA 4.19983 6.06243 3.40011
CA 4.89994 4.84993 3.40076
CA 6.29984 4.84991 3.40145
CA 6.9999 6.06223 3.40222
CA 8.39982 6.06231 3.40237
CA 9.09994 4.84991 3.40092
CA 10.4998 4.84996 3.39887
CA 11.1999 6.06232 3.40077
CA 12.5999 6.06247 3.40083
CA 13.3 4.85017 3.39831
CA 14.6999 4.85015 3.40096
CA 15.4 6.06244 3.40143
CA 16.7999 6.06236 3.40002
CA 17.4999 4.84984 3.40044
CA 18.8999 4.84997 3.39996
CA 19.6 6.06234 3.39955
CA 20.9999 6.06241 3.39921
CA 21.6999 4.85004 3.3976
CA 23.0999 4.84999 3.39794
CA 23.8 6.06234 3.40039
CA 25.1999 6.06238 3.40166
CA 25.8999 4.84989 3.40104
CA 27.2999 4.85 3.4024
CA 27.9999 6.06235 3.40306
CA 29.4 6.06245 3.40158
CA 30.1 4.84992 3.40144
CA 31.4999 4.85001 3.40013
CA 32.2 6.06227 3.39882
CA 33.5999 6.06232 3.39899
CA 34.2999 4.84992 3.39908
CA 35.7 4.84991 3.39893
CA 36.4 6.06222 3.40097
CA 37.8 6.06226 3.40091
CA 38.5 4.84984 3.40002
CA 39.9 4.84983 3.40003
CA 40.6 6.06221 3.39923
CA 42.0001 6.06227 3.39968
CA 42.7002 4.84974 3.40011
CA 44.0999 4.84982 3.40094
CA 44.8001 6.06218 3.40175
CA 46.2 6.06224 3.40069
CA 46.9 4.84987 3.40056
