## bin = 100
## thetaz  ## p(oz)
    0.450000     0.000126 
    1.350000     0.000401 
    2.250000     0.000668 
    3.150000     0.000958 
    4.050000     0.001134 
    4.950000     0.001417 
    5.850000     0.001586 
    6.750000     0.001878 
    7.650000     0.002094 
    8.550000     0.002202 
    9.450000     0.002313 
   10.350000     0.002616 
   11.250000     0.002835 
   12.150000     0.003167 
   13.050000     0.003248 
   13.950000     0.003378 
   14.850000     0.003395 
   15.750000     0.003639 
   16.650000     0.003798 
   17.550000     0.003907 
   18.450000     0.004059 
   19.350000     0.004136 
   20.250000     0.004381 
   21.150000     0.004499 
   22.050000     0.004709 
   22.950000     0.004728 
   23.850000     0.004749 
   24.750000     0.004877 
   25.650000     0.005216 
   26.550000     0.005314 
   27.450000     0.005313 
   28.350000     0.005531 
   29.250000     0.005561 
   30.150000     0.005846 
   31.050000     0.006049 
   31.950000     0.006418 
   32.850000     0.006573 
   33.750000     0.006712 
   34.650000     0.006805 
   35.550000     0.007139 
   36.450000     0.007470 
   37.350000     0.007595 
   38.250000     0.007938 
   39.150000     0.008104 
   40.050000     0.008215 
   40.950000     0.008681 
   41.850000     0.008824 
   42.750000     0.009146 
   43.650000     0.009469 
   44.550000     0.009685 
   45.450000     0.010141 
   46.350000     0.010451 
   47.250000     0.010607 
   48.150000     0.011077 
   49.050000     0.011492 
   49.950000     0.011812 
   50.850000     0.012179 
   51.750000     0.012329 
   52.650000     0.012625 
   53.550000     0.013200 
   54.450000     0.013480 
   55.350000     0.013671 
   56.250000     0.013793 
   57.150000     0.014472 
   58.050000     0.014447 
   58.950000     0.014724 
   59.850000     0.015176 
   60.750000     0.015034 
   61.650000     0.015841 
   62.550000     0.015975 
   63.450000     0.015844 
   64.350000     0.016503 
   65.250000     0.016928 
   66.150000     0.016653 
   67.050000     0.016877 
   67.950000     0.017399 
   68.850000     0.017473 
   69.750000     0.017794 
   70.650000     0.018198 
   71.550000     0.018250 
   72.450000     0.018290 
   73.350000     0.018873 
   74.250000     0.019119 
   75.150000     0.019187 
   76.050000     0.019324 
   76.950000     0.020067 
   77.850000     0.020349 
   78.750000     0.020787 
   79.650000     0.021232 
   80.550000     0.021534 
   81.450000     0.022197 
   82.350000     0.022361 
   83.250000     0.023011 
   84.150000     0.023488 
   85.050000     0.023835 
   85.950000     0.024462 
   86.850000     0.024575 
   87.750000     0.024932 
   88.650000     0.025422 
   89.550000     0.025122 
