## bin = 50
   -4.998000 0.000000   -4.998000 0.000000
   -4.794000 0.000000   -4.794000 0.000000
   -4.590000 0.000000   -4.590000 0.000000
   -4.386000 0.000000   -4.386000 0.000000
   -4.182000 0.000000   -4.182000 0.000000
   -3.978000 0.000000   -3.978000 0.000000
   -3.774000 0.000000   -3.774000 0.000000
   -3.570000 0.000000   -3.570000 0.000000
   -3.366000 0.000000   -3.366000 0.000020
   -3.162000 0.000000   -3.162000 0.000372
   -2.958000 0.000000   -2.958000 0.001788
   -2.754000 0.000000   -2.754000 0.005103
   -2.550000 0.000161   -2.550000 0.009806
   -2.346000 0.016087   -2.346000 0.028362
   -2.142000 0.146425   -2.142000 0.149952
   -1.938000 0.326189   -1.938000 0.316402
   -1.734000 0.367817   -1.734000 0.357849
   -1.530000 0.322747   -1.530000 0.318049
   -1.326000 0.267644   -1.326000 0.266716
   -1.122000 0.230636   -1.122000 0.229485
   -0.918000 0.211915   -0.918000 0.208244
   -0.714000 0.185613   -0.714000 0.181032
   -0.510000 0.149354   -0.510000 0.147260
   -0.306000 0.119250   -0.306000 0.120465
   -0.102000 0.107142   -0.102000 0.110076
    0.102000 0.107142    0.102000 0.110076
    0.306000 0.119250    0.306000 0.120465
    0.510000 0.149354    0.510000 0.147260
    0.714000 0.185613    0.714000 0.181032
    0.918000 0.211915    0.918000 0.208244
    1.122000 0.230636    1.122000 0.229485
    1.326000 0.267644    1.326000 0.266716
    1.530000 0.322747    1.530000 0.318049
    1.734000 0.367817    1.734000 0.357849
    1.938000 0.326189    1.938000 0.316402
    2.142000 0.146425    2.142000 0.149952
    2.346000 0.016087    2.346000 0.028362
    2.550000 0.000161    2.550000 0.009806
    2.754000 0.000000    2.754000 0.005103
    2.958000 0.000000    2.958000 0.001788
    3.162000 0.000000    3.162000 0.000372
    3.366000 0.000000    3.366000 0.000020
    3.570000 0.000000    3.570000 0.000000
    3.774000 0.000000    3.774000 0.000000
    3.978000 0.000000    3.978000 0.000000
    4.182000 0.000000    4.182000 0.000000
    4.386000 0.000000    4.386000 0.000000
    4.590000 0.000000    4.590000 0.000000
    4.794000 0.000000    4.794000 0.000000
    4.998000 0.000000    4.998000 0.000000
