# Time-averaged data for fix 51
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5]
1000000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0.027348 0.002 7.54428e-05 5.51724e-06
49 2.425 0.203297 0.0175 0.00316592 0.000246897
50 2.475 1.00731 0.0975 0.0499835 0.00421655
51 2.525 2.98208 0.344 0.333963 0.0318221
52 2.575 5.49051 0.816 1.1474 0.13046
53 2.625 7.07991 1.4485 2.4375 0.34822
54 2.675 7.94952 2.186 3.65841 0.687621
55 2.725 7.08399 2.868 4.28147 1.09981
56 2.775 6.26511 3.4935 4.21056 1.52019
57 2.825 4.87103 3.9975 3.71058 1.90412
58 2.875 3.60197 4.3835 3.06887 2.23299
59 2.925 2.99305 4.7155 2.46279 2.50617
60 2.975 2.14818 4.962 1.97656 2.73298
61 3.025 1.62681 5.155 1.61979 2.92515
62 3.075 1.37856 5.324 1.38057 3.09439
63 3.125 1.15314 5.47 1.21419 3.24812
64 3.175 0.941126 5.593 1.11632 3.39402
65 3.225 0.823178 5.704 1.05835 3.53673
66 3.275 0.765874 5.8105 1.02544 3.67932
67 3.325 0.648829 5.9035 1.00847 3.82387
68 3.375 0.650062 5.9995 1.00679 3.97255
69 3.425 0.53588 6.081 1.01081 4.12628
70 3.475 0.568476 6.17 1.02017 4.286
71 3.525 0.555567 6.2595 1.03401 4.45257
72 3.575 0.600486 6.359 1.05537 4.62745
73 3.625 0.648602 6.4695 1.06821 4.80944
74 3.675 0.713884 6.5945 1.08479 4.99938
75 3.725 0.744877 6.7285 1.10427 5.19803
76 3.775 0.757751 6.8685 1.12636 5.40614
77 3.825 0.735435 7.008 1.14546 5.62341
78 3.875 0.757672 7.1555 1.16212 5.84965
79 3.925 0.973808 7.35 1.17834 6.085
80 3.975 0.854274 7.525 1.19533 6.32987
81 4.025 0.91888 7.718 1.21218 6.58447
82 4.075 0.973111 7.9275 1.22601 6.84842
83 4.125 0.981394 8.144 1.23522 7.12091
84 4.175 1.1638 8.407 1.24445 7.40214
85 4.225 1.28549 8.7045 1.25052 7.69155
86 4.275 1.2577 9.0025 1.25241 7.98829
87 4.325 1.19993 9.2935 1.25124 8.29174
88 4.375 1.23713 9.6005 1.24531 8.60077
89 4.425 1.35705 9.945 1.23701 8.91479
90 4.475 1.3423 10.2935 1.22383 9.23253
91 4.525 1.37496 10.6585 1.20976 9.55368
92 4.575 1.35797 11.027 1.18983 9.87655
93 4.625 1.33237 11.3965 1.1704 10.2011
94 4.675 1.25109 11.751 1.14729 10.5262
95 4.725 1.33531 12.1375 1.12362 10.8514
96 4.775 1.33624 12.5325 1.09821 11.1761
97 4.825 1.33188 12.9345 1.07467 11.5005
98 4.875 1.34365 13.3485 1.04872 11.8236
99 4.925 1.26881 13.7475 1.02552 12.1461
100 4.975 1.20448 14.134 1.00576 12.4688
101 5.025 1.20812 14.5295 0.983458 12.7908
102 5.075 1.19192 14.9275 0.961922 13.112
103 5.125 1.0704 15.292 0.944439 13.4336
104 5.175 1.10166 15.6745 0.93062 13.7567
105 5.225 1.06372 16.051 0.915234 14.0806
106 5.275 1.05613 16.432 0.901078 14.4057
107 5.325 0.998303 16.799 0.887861 14.7321
108 5.375 0.973142 17.1635 0.874153 15.0595
109 5.425 0.859627 17.4915 0.860735 15.3879
110 5.475 0.898035 17.8405 0.846672 15.717
111 5.525 0.900805 18.197 0.833432 16.0468
112 5.575 0.857421 18.5425 0.822638 16.3783
113 5.625 0.789834 18.8665 0.812228 16.7115
114 5.675 0.781965 19.193 0.804703 17.0475
115 5.725 0.77072 19.5205 0.800119 17.3875
116 5.775 0.778247 19.857 0.796259 17.7318
117 5.825 0.759261 20.191 0.796963 18.0823
118 5.875 0.758683 20.5305 0.798639 18.4397
119 5.925 0.729454 20.8625 0.800185 18.8039
120 5.975 0.736741 21.2035 0.808353 19.1781
121 6.025 0.765998 21.564 0.815203 19.5617
122 6.075 0.807781 21.9505 0.821932 19.955
123 6.125 0.739134 22.31 0.82973 20.3586
124 6.175 0.75351 22.6825 0.837254 20.7725
125 6.225 0.78823 23.0785 0.845976 21.1975
126 6.275 0.761027 23.467 0.853839 21.6333
127 6.325 0.792424 23.878 0.864781 22.0819
128 6.375 0.7734 24.2855 0.871514 22.5411
129 6.425 0.829609 24.7295 0.876915 23.0104
130 6.475 0.823285 25.177 0.884602 23.4912
131 6.525 0.778106 25.6065 0.890835 23.9829
132 6.575 0.752043 26.028 0.897224 24.4858
133 6.625 0.75743 26.459 0.899519 24.9977
134 6.675 0.785941 26.913 0.904256 25.52
135 6.725 0.826316 27.3975 0.90629 26.0514
136 6.775 0.799881 27.8735 0.907518 26.5915
137 6.825 0.856923 28.391 0.91 27.141
138 6.875 0.831449 28.9005 0.91254 27.7002
139 6.925 0.850046 29.429 0.911048 28.2666
140 6.975 0.818877 29.9455 0.909663 28.8404
141 7.025 0.793977 30.4535 0.912541 29.4242
142 7.075 0.8244 30.9885 0.911234 30.0156
143 7.125 0.814389 31.5245 0.91578 30.6183
144 7.175 0.856268 32.096 0.917193 31.2305
145 7.225 0.857756 32.6765 0.920801 31.8537
146 7.275 0.86058 33.267 0.924007 32.4877
147 7.325 0.850309 33.8585 0.922063 33.1291
148 7.375 0.821801 34.438 0.92123 33.7787
149 7.425 0.819165 35.0235 0.91815 34.435
150 7.475 0.849656 35.639 0.912783 35.0962
151 7.525 0.833635 36.251 0.904913 35.7605
152 7.575 0.807207 36.8515 0.899791 36.4299
153 7.625 0.831149 37.478 0.893668 37.1035
154 7.675 0.803987 38.092 0.888541 37.7821
155 7.725 0.812355 38.7205 0.884719 38.4666
156 7.775 0.815338 39.3595 0.881229 39.1572
157 7.825 0.791095 39.9875 0.879286 39.8552
158 7.875 0.856328 40.676 0.875275 40.559
159 7.925 0.825293 41.348 0.873448 41.2702
160 7.975 0.863488 42.06 0.873407 41.9904
161 8.025 0.83779 42.7595 0.87184 42.7183
162 8.075 0.790777 43.428 0.870806 43.4544
163 8.125 0.86403 44.1675 0.870208 44.1992
164 8.175 0.860995 44.9135 0.870541 44.9535
165 8.225 0.883054 45.688 0.87104 45.7175
166 8.275 0.869035 46.4595 0.869371 46.4893
167 8.325 0.871427 47.2425 0.870585 47.2715
168 8.375 0.876448 48.0395 0.869521 48.0622
169 8.425 0.90248 48.87 0.871611 48.8643
170 8.475 0.837094 49.6495 0.870829 49.6752
171 8.525 0.867103 50.4665 0.873311 50.4981
172 8.575 0.905799 51.33 0.870628 51.328
173 8.625 0.933691 52.2305 0.872496 52.1695
174 8.675 0.885036 53.094 0.87349 53.0217
175 8.725 0.904305 53.9865 0.872614 53.883
176 8.775 0.887518 54.8725 0.8724 54.7539
177 8.825 0.940875 55.8225 0.874422 55.6368
178 8.875 0.94891 56.7915 0.872979 56.5282
179 8.925 0.921362 57.743 0.874673 57.4315
180 8.975 0.889579 58.672 0.87583 58.3462
181 9.025 0.935622 59.66 0.876589 59.2718
182 9.075 0.936579 60.66 0.876337 60.2075
183 9.125 0.949965 61.6855 0.878388 61.1557
184 9.175 0.970793 62.745 0.880954 62.1172
185 9.225 0.956673 63.8005 0.881185 63.0894
186 9.275 0.93742 64.846 0.884135 64.0755
187 9.325 0.945135 65.9115 0.885465 65.0737
188 9.375 0.928498 66.9695 0.887456 66.0849
189 9.425 0.931263 68.042 0.88996 67.1099
190 9.475 0.979884 69.1825 0.891423 68.1474
191 9.525 0.922864 70.268 0.895503 69.2007
192 9.575 0.93176 71.3755 0.899326 70.2697
193 9.625 0.9654 72.535 0.902932 71.3541
194 9.675 0.965747 73.707 0.905593 72.4531
195 9.725 0.957474 74.881 0.910057 73.569
196 9.775 0.996945 76.116 0.9157 74.7034
197 9.825 0.986425 77.3505 0.921268 75.8563
198 9.875 0.91872 78.512 0.927683 77.0291
199 9.925 0.938067 79.71 0.933573 78.2214
200 9.975 0.937989 80.92 0.941331 79.4357
2000000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0.006837 0.0005 5.65821e-05 4.13793e-06
49 2.425 0.118044 0.0095 0.00294883 0.000228966
50 2.475 0.975833 0.087 0.0510168 0.00428069
51 2.525 2.64334 0.3055 0.330442 0.0315952
52 2.575 4.78675 0.717 1.1431 0.129863
53 2.625 6.15085 1.2665 2.43841 0.347705
54 2.675 6.9309 1.9095 3.65394 0.686692
55 2.725 6.15435 2.502 4.27535 1.09829
56 2.775 5.36866 3.038 4.22488 1.5201
57 2.825 4.25249 3.478 3.72208 1.90522
58 2.875 3.36401 3.8385 3.06479 2.23365
59 2.925 2.70457 4.1385 2.46459 2.50704
60 2.975 2.03925 4.3725 1.97632 2.73381
61 3.025 1.55516 4.557 1.62033 2.92605
62 3.075 1.13385 4.696 1.37328 3.0944
63 3.125 1.07021 4.8315 1.21219 3.24787
64 3.175 0.845483 4.942 1.11363 3.39342
65 3.225 0.730478 5.0405 1.05361 3.53549
66 3.275 0.658005 5.132 1.02068 3.67742
67 3.325 0.645341 5.2245 1.01041 3.82225
68 3.375 0.59589 5.3125 1.00666 3.97091
69 3.425 0.447115 5.3805 1.01048 4.1246
70 3.475 0.488633 5.457 1.0213 4.28449
71 3.525 0.536945 5.5435 1.03063 4.45052
72 3.575 0.630661 5.648 1.05123 4.62471
73 3.625 0.628058 5.755 1.06517 4.80618
74 3.675 0.545407 5.8505 1.0881 4.9967
75 3.725 0.611466 5.9605 1.10664 5.19578
76 3.775 0.652207 6.081 1.12143 5.40297
77 3.825 0.701167 6.214 1.1455 5.62026
78 3.875 0.80904 6.3715 1.16105 5.84628
79 3.925 0.87868 6.547 1.18184 6.08233
80 3.975 0.90553 6.7325 1.20144 6.32845
81 4.025 0.904597 6.9225 1.21524 6.5837
82 4.075 1.03582 7.1455 1.22913 6.84832
83 4.125 1.08112 7.384 1.23728 7.12126
84 4.175 1.29655 7.677 1.24289 7.40214
85 4.225 1.27468 7.972 1.25441 7.69245
86 4.275 1.32734 8.2865 1.25267 7.98926
87 4.325 1.37724 8.6205 1.25374 8.29331
88 4.375 1.29959 8.943 1.24496 8.60225
89 4.425 1.49296 9.322 1.23514 8.9158
90 4.475 1.4983 9.711 1.22473 9.23377
91 4.525 1.39756 10.082 1.20917 9.55476
92 4.575 1.37271 10.4545 1.19126 9.87803
93 4.625 1.44596 10.8555 1.17006 10.2025
94 4.675 1.42755 11.26 1.14731 10.5276
95 4.725 1.40613 11.667 1.12513 10.8533
