     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -28.51875     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.39375     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.26875     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.14475     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.01975     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.89475     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.76975     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.64475     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.51975     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.39475     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.27075     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.14575     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.02075     0.00000     0.00029     0.00020     0.00029     0.00000     0.00000     0.00000     0.00000     0.00000     0.00079
   -26.89575     0.00000     0.03487     0.02848     0.03485     0.00000     0.00000     0.00000     0.00000     0.00000     0.09820
   -26.77075     0.00001     0.33828     0.31201     0.33826     0.00000     0.00000     0.00000     0.00000     0.00000     0.98856
   -26.64575     0.00002     0.78878     0.76532     0.78876     0.00000     0.00000     0.00000     0.00000     0.00000     2.34288
   -26.52075     0.00002     0.97999     0.97566     0.97996     0.00000     0.00000     0.00000     0.00000     0.00000     2.93564
