      #Energy        TDOS-UP        TDOS-DOWN
     -28.51875       0.00000       0.00000
     -28.39375       0.00000       0.00000
     -28.26875       0.00000       0.00000
     -28.14475       0.00000       0.00000
     -28.01975       0.00000       0.00000
     -27.89475       0.00000       0.00000
     -27.76975       0.00000       0.00000
     -27.64475       0.00000       0.00000
     -27.51975       0.00000       0.00000
     -27.39475       0.00000      -0.00000
     -27.27075       0.00000      -0.00000
     -27.14575       0.00000      -0.00000
     -27.02075       0.00080      -0.00278
     -26.89575       0.09924      -0.19434
     -26.77075       0.99911      -1.29399
     -26.64575       2.36790      -2.58979
     -26.52075       2.96700      -2.98722
     -26.39675       2.99966      -2.99973
     -26.27175       2.99978      -2.99976
     -26.14675       2.99978      -2.99976
     -26.02175       2.99978      -2.99976
     -25.89675       2.99978      -2.99976
     -25.77175       2.99978      -2.99976
     -25.64675       2.99978      -2.99976
     -25.52275       2.99978      -2.99976
     -25.39775       2.99978      -2.99976
     -25.27275       2.99978      -2.99976
     -25.14775       2.99978      -2.99976
     -25.02275       2.99978      -2.99976
     -24.89775       2.99978      -2.99976
     -24.77275       2.99978      -2.99976
     -24.64875       2.99978      -2.99976
     -24.52375       2.99978      -2.99976
     -24.39875       2.99978      -2.99976
     -24.27375       2.99978      -2.99976
     -24.14875       2.99978      -2.99976
     -24.02375       2.99978      -2.99976
     -23.89875       2.99978      -2.99976
     -23.77375       2.99978      -2.99976
     -23.64975       2.99978      -2.99976
     -23.52475       2.99978      -2.99976
     -23.39975       2.99978      -2.99976
     -23.27475       2.99978      -2.99976
     -23.14975       2.99978      -2.99976
     -23.02475       2.99978      -2.99976
     -22.89975       2.99978      -2.99976
     -22.77575       2.99978      -2.99976
     -22.65075       2.99978      -2.99976
     -22.52575       2.99978      -2.99976
     -22.40075       2.99978      -2.99976
     -22.27575       2.99978      -2.99976
     -22.15075       2.99978      -2.99976
     -22.02575       2.99978      -2.99976
     -21.90175       2.99978      -2.99976
     -21.77675       2.99978      -2.99976
     -21.65175       2.99978      -2.99976
     -21.52675       2.99978      -2.99976
     -21.40175       2.99978      -2.99976
     -21.27675       2.99978      -2.99976
     -21.15175       2.99978      -2.99976
     -21.02775       2.99978      -2.99976
     -20.90275       2.99978      -2.99976
     -20.77775       2.99978      -2.99976
     -20.65275       2.99978      -2.99976
     -20.52775       2.99978      -2.99977
     -20.40275       3.00169      -3.00172
     -20.27775       3.04326      -3.04381
     -20.15375       3.21166      -3.21312
     -20.02875       3.50308      -3.50517
     -19.90375       3.81299      -3.81489
