      #Energy        TDOS-UP        TDOS-DOWN
     -28.51875       0.00000       0.00000
     -28.39375       0.00000       0.00000
     -28.26875       0.00000       0.00000
     -28.14475       0.00000       0.00000
     -28.01975       0.00000       0.00000
     -27.89475       0.00000       0.00000
     -27.76975       0.00000       0.00000
     -27.64475       0.00000       0.00000
     -27.51975       0.00000       0.00000
     -27.39475       0.00000      -0.00000
     -27.27075       0.00000      -0.00000
     -27.14575       0.00001      -0.00004
     -27.02075       0.01278      -0.04439
     -26.89575       1.56400      -3.02400
     -26.77075      12.85000     -14.59000
     -26.64575       9.07500      -6.16600
     -26.52075       0.52130      -0.20000
     -26.39675       0.00187      -0.00038
     -26.27175       0.00000      -0.00000
     -26.14675       0.00000      -0.00000
     -26.02175       0.00000       0.00000
     -25.89675       0.00000       0.00000
     -25.77175       0.00000       0.00000
     -25.64675       0.00000       0.00000
     -25.52275       0.00000       0.00000
     -25.39775       0.00000       0.00000
     -25.27275       0.00000       0.00000
     -25.14775       0.00000       0.00000
     -25.02275       0.00000       0.00000
     -24.89775       0.00000       0.00000
     -24.77275       0.00000       0.00000
     -24.64875       0.00000       0.00000
     -24.52375       0.00000       0.00000
     -24.39875       0.00000       0.00000
     -24.27375       0.00000       0.00000
     -24.14875       0.00000       0.00000
     -24.02375       0.00000       0.00000
     -23.89875       0.00000       0.00000
     -23.77375       0.00000       0.00000
     -23.64975       0.00000       0.00000
     -23.52475       0.00000       0.00000
     -23.39975       0.00000       0.00000
     -23.27475       0.00000       0.00000
     -23.14975       0.00000       0.00000
     -23.02475       0.00000       0.00000
     -22.89975       0.00000       0.00000
     -22.77575       0.00000       0.00000
     -22.65075       0.00000       0.00000
     -22.52575       0.00000       0.00000
     -22.40075       0.00000       0.00000
     -22.27575       0.00000       0.00000
     -22.15075       0.00000       0.00000
     -22.02575       0.00000       0.00000
     -21.90175       0.00000       0.00000
     -21.77675       0.00000       0.00000
     -21.65175       0.00000       0.00000
     -21.52675       0.00000       0.00000
     -21.40175       0.00000       0.00000
     -21.27675       0.00000       0.00000
     -21.15175       0.00000       0.00000
     -21.02775       0.00000       0.00000
     -20.90275       0.00000       0.00000
     -20.77775       0.00000      -0.00000
     -20.65275       0.00000      -0.00000
     -20.52775       0.00012      -0.00013
     -20.40275       0.03042      -0.03119
     -20.27775       0.63540      -0.64300
     -20.15375       2.06200      -2.06900
     -20.02875       2.60600      -2.60900
     -19.90375       2.35800      -2.35200
     -19.77875       2.11500      -2.11300
     -19.65375       2.51500      -2.51600
