#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.000      -26.6459      -26.6748
  0.019      -26.6459      -26.6748
  0.039      -26.6459      -26.6748
  0.058      -26.6459      -26.6748
  0.077      -26.6459      -26.6748
  0.097      -26.6459      -26.6748
  0.116      -26.6459      -26.6748
  0.135      -26.6459      -26.6748
  0.155      -26.6459      -26.6748
  0.174      -26.6459      -26.6748
  0.193      -26.6459      -26.6748
  0.213      -26.6459      -26.6748
  0.232      -26.6459      -26.6748
  0.251      -26.6459      -26.6748
  0.271      -26.6459      -26.6748
  0.290      -26.6459      -26.6748
  0.309      -26.6459      -26.6748
  0.329      -26.6459      -26.6748
  0.348      -26.6459      -26.6748
  0.367      -26.6459      -26.6748
  0.367      -26.6459      -26.6748
  0.379      -26.6459      -26.6748
  0.390      -26.6459      -26.6748
  0.401      -26.6459      -26.6748
  0.412      -26.6459      -26.6748
  0.423      -26.6459      -26.6748
  0.434      -26.6459      -26.6748
  0.446      -26.6459      -26.6748
  0.457      -26.6459      -26.6748
  0.468      -26.6459      -26.6748
  0.479      -26.6459      -26.6748
  0.490      -26.6459      -26.6748
  0.501      -26.6459      -26.6748
  0.513      -26.6459      -26.6748
  0.524      -26.6459      -26.6748
  0.535      -26.6459      -26.6748
  0.546      -26.6459      -26.6748
  0.557      -26.6459      -26.6748
  0.568      -26.6459      -26.6748
  0.579      -26.6459      -26.6748
  0.579      -26.6459      -26.6748
  0.602      -26.6459      -26.6748
  0.624      -26.6459      -26.6748
  0.646      -26.6459      -26.6748
  0.669      -26.6459      -26.6748
  0.691      -26.6459      -26.6748
  0.713      -26.6459      -26.6748
  0.736      -26.6459      -26.6748
  0.758      -26.6459      -26.6748
  0.780      -26.6459      -26.6748
  0.803      -26.6459      -26.6748
  0.825      -26.6459      -26.6748
  0.847      -26.6459      -26.6748
  0.870      -26.6459      -26.6748
  0.892      -26.6459      -26.6748
  0.914      -26.6459      -26.6748
  0.937      -26.6459      -26.6748
  0.959      -26.6459      -26.6748
  0.981      -26.6459      -26.6748
  1.004      -26.6459      -26.6748
#Band-index    2
  1.004      -26.6458      -26.6747
  0.981      -26.6458      -26.6747
  0.959      -26.6458      -26.6747
  0.937      -26.6458      -26.6747
  0.914      -26.6458      -26.6747
  0.892      -26.6458      -26.6747
  0.870      -26.6458      -26.6747
  0.847      -26.6458      -26.6747
  0.825      -26.6458      -26.6747
  0.803      -26.6458      -26.6747
  0.780      -26.6458      -26.6747
  0.758      -26.6458      -26.6747
  0.736      -26.6458      -26.6747
  0.713      -26.6458      -26.6747
  0.691      -26.6458      -26.6747
  0.669      -26.6458      -26.6747
  0.646      -26.6458      -26.6747
  0.624      -26.6458      -26.6747
  0.602      -26.6458      -26.6747
  0.579      -26.6458      -26.6747
  0.579      -26.6458      -26.6747
  0.568      -26.6458      -26.6747
  0.557      -26.6458      -26.6747
  0.546      -26.6458      -26.6747
  0.535      -26.6458      -26.6747
  0.524      -26.6458      -26.6747
  0.513      -26.6458      -26.6747
  0.501      -26.6458      -26.6747
  0.490      -26.6458      -26.6747
  0.479      -26.6458      -26.6747
  0.468      -26.6458      -26.6747
  0.457      -26.6458      -26.6747
  0.446      -26.6458      -26.6747
  0.434      -26.6458      -26.6747
  0.423      -26.6458      -26.6747
  0.412      -26.6458      -26.6747
  0.401      -26.6458      -26.6747
  0.390      -26.6458      -26.6747
  0.379      -26.6458      -26.6747
  0.367      -26.6458      -26.6747
