#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -26.646  0.000  0.739  0.000  0.251  0.000  0.000  0.000  0.000  0.000  0.990
   0.019   -26.646  0.000  0.728  0.000  0.262  0.000  0.000  0.000  0.000  0.000  0.990
   0.039   -26.646  0.000  0.734  0.000  0.255  0.000  0.000  0.000  0.000  0.000  0.990
   0.058   -26.646  0.000  0.728  0.000  0.262  0.000  0.000  0.000  0.000  0.000  0.990
   0.077   -26.646  0.000  0.721  0.000  0.269  0.000  0.000  0.000  0.000  0.000  0.990
   0.097   -26.646  0.000  0.721  0.000  0.269  0.000  0.000  0.000  0.000  0.000  0.990
   0.116   -26.646  0.000  0.710  0.000  0.280  0.000  0.000  0.000  0.000  0.000  0.990
   0.135   -26.646  0.000  0.704  0.000  0.285  0.000  0.000  0.000  0.000  0.000  0.990
   0.155   -26.646  0.000  0.702  0.000  0.288  0.000  0.000  0.000  0.000  0.000  0.990
   0.174   -26.646  0.000  0.698  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.990
   0.193   -26.646  0.000  0.699  0.000  0.291  0.000  0.000  0.000  0.000  0.000  0.990
   0.213   -26.646  0.000  0.706  0.000  0.283  0.000  0.000  0.000  0.000  0.000  0.990
   0.232   -26.646  0.000  0.709  0.000  0.280  0.000  0.000  0.000  0.000  0.000  0.990
   0.251   -26.646  0.000  0.707  0.000  0.282  0.000  0.000  0.000  0.000  0.000  0.990
   0.271   -26.646  0.000  0.707  0.000  0.283  0.000  0.000  0.000  0.000  0.000  0.990
   0.290   -26.646  0.000  0.702  0.000  0.288  0.000  0.000  0.000  0.000  0.000  0.990
   0.309   -26.646  0.000  0.697  0.000  0.293  0.000  0.000  0.000  0.000  0.000  0.990
   0.329   -26.646  0.000  0.700  0.000  0.290  0.000  0.000  0.000  0.000  0.000  0.990
   0.348   -26.646  0.000  0.709  0.000  0.281  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.646  0.000  0.716  0.000  0.274  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.646  0.000  0.716  0.000  0.274  0.000  0.000  0.000  0.000  0.000  0.990
   0.379   -26.646  0.000  0.724  0.000  0.266  0.000  0.000  0.000  0.000  0.000  0.990
   0.390   -26.646  0.000  0.730  0.000  0.260  0.000  0.000  0.000  0.000  0.000  0.990
   0.401   -26.646  0.000  0.734  0.000  0.256  0.000  0.000  0.000  0.000  0.000  0.990
   0.412   -26.646  0.000  0.738  0.000  0.252  0.000  0.000  0.000  0.000  0.000  0.990
   0.423   -26.646  0.000  0.737  0.000  0.253  0.000  0.000  0.000  0.000  0.000  0.990
   0.434   -26.646  0.000  0.737  0.000  0.253  0.000  0.000  0.000  0.000  0.000  0.990
   0.446   -26.646  0.000  0.735  0.000  0.254  0.000  0.000  0.000  0.000  0.000  0.990
   0.457   -26.646  0.000  0.738  0.000  0.252  0.000  0.000  0.000  0.000  0.000  0.990
   0.468   -26.646  0.000  0.739  0.000  0.251  0.000  0.000  0.000  0.000  0.000  0.990
   0.479   -26.646  0.000  0.733  0.000  0.257  0.000  0.000  0.000  0.000  0.000  0.990
   0.490   -26.646  0.000  0.734  0.000  0.256  0.000  0.000  0.000  0.000  0.000  0.990
   0.501   -26.646  0.000  0.732  0.000  0.258  0.000  0.000  0.000  0.000  0.000  0.990
   0.513   -26.646  0.000  0.728  0.000  0.262  0.000  0.000  0.000  0.000  0.000  0.990
   0.524   -26.646  0.000  0.731  0.000  0.258  0.000  0.000  0.000  0.000  0.000  0.990
   0.535   -26.646  0.000  0.747  0.000  0.243  0.000  0.000  0.000  0.000  0.000  0.990
   0.546   -26.646  0.000  0.739  0.000  0.251  0.000  0.000  0.000  0.000  0.000  0.990
   0.557   -26.646  0.000  0.740  0.000  0.250  0.000  0.000  0.000  0.000  0.000  0.990
