####### 224
  ####  units e/A
0.000000  0.000014
0.089286  0.000012
0.178572  0.000011
0.267858  0.000009
0.357144  0.000008
0.446430  0.000007
0.535716  0.000007
0.625002  0.000006
0.714288  0.000006
0.803574  0.000005
0.892860  0.000005
0.982146  0.000005
1.071432  0.000004
1.160717  0.000004
1.250003  0.000004
1.339289  0.000004
1.428575  0.000004
1.517861  0.000004
1.607147  0.000004
1.696433  0.000004
1.785719  0.000004
1.875005  0.000004
1.964291  0.000004
2.053577  0.000004
2.142863  0.000003
2.232149  0.000003
2.321435  0.000003
2.410721  0.000003
2.500007  0.000003
2.589293  0.000003
2.678579  0.000003
2.767865  0.000003
2.857151  0.000002
2.946437  0.000002
3.035723  0.000002
3.125009  0.000002
3.214295  0.000001
3.303581  0.000001
3.392866  0.000001
3.482152  0.000000
3.571438  0.000000
3.660724  -0.000000
3.750010  -0.000001
3.839296  -0.000001
3.928582  -0.000001
4.017868  -0.000002
4.107154  -0.000002
4.196440  -0.000003
4.285726  -0.000003
4.375012  -0.000004
4.464298  -0.000004
4.553584  -0.000005
4.642870  -0.000006
4.732156  -0.000007
4.821442  -0.000008
4.910728  -0.000009
5.000014  -0.000010
5.089300  -0.000012
5.178586  -0.000014
5.267872  -0.000016
5.357158  -0.000019
5.446444  -0.000022
5.535730  -0.000026
5.625016  -0.000031
5.714301  -0.000037
5.803587  -0.000044
5.892873  -0.000052
5.982159  -0.000062
6.071445  -0.000075
6.160731  -0.000092
6.250017  -0.000113
6.339303  -0.000138
6.428589  -0.000171
6.517875  -0.000212
6.607161  -0.000263
6.696447  -0.000330
6.785733  -0.000415
6.875019  -0.000523
6.964305  -0.000659
7.053591  -0.000832
7.142877  -0.001051
7.232163  -0.001330
7.321449  -0.001682
7.410735  -0.002124
7.500021  -0.002674
7.589307  -0.003356
7.678593  -0.004197
7.767879  -0.005232
7.857165  -0.006492
7.946450  -0.008008
8.035736  -0.009803
8.125022  -0.011899
8.214308  -0.014300
8.303594  -0.016974
8.392880  -0.019829
8.482166  -0.022681
8.571452  -0.025223
8.660738  -0.026982
8.750024  -0.027279
8.839310  -0.025209
8.928596  -0.019690
9.017882  -0.009570
9.107168  0.006241
9.196454  0.028563
9.285740  0.057368
9.375026  0.090503
9.464312  0.123081
9.553598  0.144421
9.642884  0.135286
9.732170  0.077940
9.821456  -0.024338
9.910742  -0.137195
10.000028  -0.209767
10.089314  -0.206000
10.178599  -0.126518
10.267885  -0.002862
10.357171  0.127426
10.446457  0.240730
10.535743  0.328848
10.625029  0.389812
10.714315  0.422769
10.803601  0.429803
10.892887  0.414705
10.982173  0.381326
11.071459  0.334008
11.160745  0.277555
11.250031  0.216606
11.339317  0.154985
11.428603  0.095483
11.517889  0.040123
11.607175  -0.009440
11.696461  -0.051925
11.785747  -0.086628
11.875033  -0.113536
11.964319  -0.133242
12.053605  -0.146772
12.142891  -0.155390
12.232177  -0.160412
12.321463  -0.163038
12.410748  -0.164241
12.500034  -0.164728
12.589320  -0.164901
12.678606  -0.164794
12.767892  -0.164084
12.857178  -0.162238
12.946464  -0.158783
13.035750  -0.153523
13.125036  -0.146569
13.214322  -0.138221
13.303608  -0.128803
13.392894  -0.118619
13.482180  -0.107968
13.571466  -0.097134
13.660752  -0.086375
13.750038  -0.075918
13.839324  -0.065956
13.928610  -0.056646
14.017896  -0.048097
14.107182  -0.040373
14.196468  -0.033492
14.285754  -0.027443
14.375040  -0.022189
14.464326  -0.017677
14.553612  -0.013848
14.642897  -0.010632
14.732183  -0.007959
14.821469  -0.005759
14.910755  -0.003967
15.000041  -0.002523
15.089327  -0.001375
15.178613  -0.000473
15.267899  0.000225
15.357185  0.000754
15.446471  0.001146
15.535757  0.001424
15.625043  0.001613
15.714329  0.001729
15.803615  0.001789
15.892901  0.001805
15.982187  0.001787
16.071473  0.001744
16.160759  0.001680
16.250045  0.001603
16.339331  0.001517
16.428617  0.001426
16.517903  0.001332
16.607189  0.001237
16.696475  0.001144
16.785761  0.001053
16.875047  0.000966
16.964332  0.000884
17.053618  0.000806
17.142904  0.000733
17.232190  0.000664
17.321476  0.000600
17.410762  0.000541
17.500048  0.000487
17.589334  0.000437
17.678620  0.000392
17.767906  0.000350
17.857192  0.000313
17.946478  0.000278
18.035764  0.000248
18.125050  0.000220
18.214336  0.000195
18.303622  0.000173
18.392908  0.000152
18.482194  0.000135
18.571480  0.000119
18.660766  0.000104
18.750052  0.000092
18.839338  0.000081
18.928624  0.000071
19.017910  0.000062
19.107196  0.000054
19.196481  0.000047
19.285767  0.000041
19.375053  0.000036
19.464339  0.000031
19.553625  0.000027
19.642911  0.000024
19.732197  0.000021
19.821483  0.000018
19.910769  0.000016
