     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -27.72893     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.60993     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.49093     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.37193     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.25293     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.13393     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.01493     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.89493     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.77593     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.65693     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.53793    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -26.41893    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -26.29993    -0.00000    -0.00007    -0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00018
   -26.18093    -0.00000    -0.01237    -0.00148    -0.01725     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03111
   -26.06193    -0.00000    -0.20557    -0.07227    -0.23852     0.00000     0.00000     0.00000     0.00000     0.00000    -0.51637
   -25.94293    -0.00001    -0.64877    -0.43086    -0.68654     0.00000     0.00000     0.00000     0.00000     0.00000    -1.76617
   -25.82393    -0.00001    -0.95005    -0.84601    -0.95991     0.00000     0.00000     0.00000     0.00000     0.00000    -2.75598
   -25.70493    -0.00002    -0.98959    -0.97704    -0.98980     0.00000     0.00000     0.00000     0.00000     0.00000    -2.95646
