      #Energy        TDOS-UP        TDOS-DOWN
     -27.72893       0.00000       0.00000
     -27.60993       0.00000       0.00000
     -27.49093       0.00000       0.00000
     -27.37193       0.00000       0.00000
     -27.25293       0.00000       0.00000
     -27.13393       0.00000       0.00000
     -27.01493       0.00000       0.00000
     -26.89493       0.00000       0.00000
     -26.77593       0.00000       0.00000
     -26.65693       0.00000       0.00000
     -26.53793       0.00000      -0.00000
     -26.41893       0.00000      -0.00000
     -26.29993       0.00240      -0.00018
     -26.18093       0.13794      -0.03143
     -26.06193       1.01599      -0.52212
     -25.94293       2.31968      -1.78740
     -25.82393       2.93818      -2.79050
     -25.70493       2.99862      -2.99401
     -25.58493       2.99934      -3.00008
     -25.46593       2.99934      -3.00010
     -25.34693       2.99934      -3.00010
     -25.22793       2.99934      -3.00010
     -25.10893       2.99934      -3.00010
     -24.98993       2.99934      -3.00010
     -24.87093       2.99934      -3.00010
     -24.75193       2.99934      -3.00010
     -24.63293       2.99934      -3.00010
     -24.51393       2.99934      -3.00010
     -24.39493       2.99934      -3.00010
     -24.27493       2.99934      -3.00010
     -24.15593       2.99934      -3.00010
     -24.03693       2.99934      -3.00010
     -23.91793       2.99934      -3.00010
     -23.79893       2.99934      -3.00010
     -23.67993       2.99934      -3.00010
     -23.56093       2.99934      -3.00010
     -23.44193       2.99935      -3.00010
     -23.32293       3.00205      -3.00195
     -23.20393       3.09882      -3.08197
     -23.08493       3.49295      -3.45759
     -22.96493       3.89310      -3.87321
     -22.84593       3.99626      -3.99580
     -22.72693       3.99934      -4.00020
     -22.60793       3.99934      -4.00021
     -22.48893       3.99934      -4.00021
     -22.36993       3.99934      -4.00021
     -22.25093       3.99934      -4.00021
     -22.13193       3.99934      -4.00021
     -22.01293       3.99934      -4.00021
     -21.89393       3.99934      -4.00021
     -21.77493       3.99934      -4.00021
     -21.65493       3.99934      -4.00021
     -21.53593       3.99934      -4.00021
     -21.41693       3.99934      -4.00021
     -21.29793       3.99934      -4.00021
     -21.17893       3.99934      -4.00021
     -21.05993       3.99934      -4.00021
     -20.94093       3.99934      -4.00021
     -20.82193       3.99934      -4.00021
     -20.70293       3.99934      -4.00021
     -20.58393       3.99934      -4.00021
     -20.46493       3.99934      -4.00021
     -20.34493       3.99935      -4.00022
     -20.22593       4.00080      -4.00166
     -20.10693       4.03329      -4.03407
     -19.98793       4.17579      -4.17644
     -19.86893       4.43243      -4.43302
     -19.74993       4.72462      -4.72521
     -19.63093       5.01758      -5.01817
     -19.51193       5.31055      -5.31114
     -19.39293       5.60500      -5.60559
     -19.27393       5.90010      -5.90070
     -19.15493       6.19563      -6.19622
     -19.03493       6.49157      -6.49216
     -18.91593       6.78793      -6.78852
     -18.79693       7.08476      -7.08535
     -18.67793       7.38213      -7.38272
     -18.55893       7.67997      -7.68057
     -18.43993       7.97830      -7.97889
     -18.32093       8.27715      -8.27775
     -18.20193       8.57661      -8.57720
     -18.08293       8.87666      -8.87725
     -17.96393       9.17730      -9.17789
     -17.84493       9.47854      -9.47913
     -17.72493       9.78038      -9.78097
     -17.60593      10.08293     -10.08352
     -17.48693      10.38625     -10.38684
     -17.36793      10.69041     -10.69100
     -17.24893      10.99540     -10.99599
     -17.12993      11.30105     -11.30164
     -17.01093      11.60747     -11.60806
     -16.89193      11.91514     -11.91573
     -16.77293      12.22394     -12.22453
     -16.65393      12.53334     -12.53393
     -16.53493      12.84363     -12.84422
     -16.41493      13.15582     -13.15642
     -16.29593      13.46987     -13.47046
     -16.17693      13.78462     -13.78521
     -16.05793      14.10117     -14.10176
     -15.93893      14.42075     -14.42134
     -15.81993      14.74181     -14.74241
     -15.70093      15.06521     -15.06580
     -15.58193      15.39336     -15.39395
     -15.46293      15.72473     -15.72532
     -15.34393      16.06068     -16.06128
     -15.22493      16.40575     -16.40634
     -15.10493      16.76112     -16.76171
     -14.98593      17.13774     -17.13827
     -14.86693      17.55754     -17.55801
     -14.74793      17.98751     -17.98804
     -14.62893      18.35568     -18.35633
     -14.50993      18.64936     -18.65007
     -14.39093      18.89272     -18.89349
     -14.27193      19.10244     -19.10333
     -14.15293      19.28518     -19.28613
