     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -27.72893     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.60993     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.49093     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.37193     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.25293     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.13393     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.01493     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.89493     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.77593     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.65693     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.53793    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -26.41893    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -26.29993    -0.00000    -0.00110    -0.00004    -0.00193     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00307
   -26.18093    -0.00000    -0.20560    -0.02484    -0.28590     0.00000     0.00000     0.00000     0.00000     0.00000    -0.51634
   -26.06193    -0.00002    -3.03900    -1.16400    -3.43000     0.00000     0.00000     0.00000     0.00000     0.00000    -7.63302
   -25.94293    -0.00008    -4.40400    -4.85800    -4.09400     0.00000     0.00000     0.00000     0.00000     0.00000   -13.35608
   -25.82393    -0.00003    -0.65570    -2.11400    -0.49700     0.00000     0.00000     0.00000     0.00000     0.00000    -3.26673
   -25.70493    -0.00000    -0.00831    -0.08666    -0.00504     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10001
