      #Energy        TDOS-UP        TDOS-DOWN
     -27.72893       0.00000       0.00000
     -27.60993       0.00000       0.00000
     -27.49093       0.00000       0.00000
     -27.37193       0.00000       0.00000
     -27.25293       0.00000       0.00000
     -27.13393       0.00000       0.00000
     -27.01493       0.00000       0.00000
     -26.89493       0.00000       0.00000
     -26.77593       0.00000       0.00000
     -26.65693       0.00000       0.00000
     -26.53793       0.00000      -0.00000
     -26.41893       0.00006      -0.00000
     -26.29993       0.04019      -0.00310
     -26.18093       2.23600      -0.52160
     -26.06193      12.51000      -7.71900
     -25.94293       9.38400     -13.53000
     -25.82393       1.00300      -3.31600
     -25.70493       0.01209      -0.10170
     -25.58493       0.00001      -0.00029
     -25.46593       0.00000      -0.00000
     -25.34693       0.00000      -0.00000
     -25.22793       0.00000       0.00000
     -25.10893       0.00000       0.00000
     -24.98993       0.00000       0.00000
     -24.87093       0.00000       0.00000
     -24.75193       0.00000       0.00000
     -24.63293       0.00000       0.00000
     -24.51393       0.00000       0.00000
     -24.39493       0.00000       0.00000
     -24.27493       0.00000       0.00000
     -24.15593       0.00000       0.00000
     -24.03693       0.00000       0.00000
     -23.91793       0.00000       0.00000
     -23.79893       0.00000       0.00000
     -23.67993       0.00000      -0.00000
     -23.56093       0.00000      -0.00000
     -23.44193       0.00010      -0.00005
     -23.32293       0.04524      -0.03098
     -23.20393       1.58000      -1.31300
     -23.08493       5.03900      -4.99500
     -22.96493       1.68100      -1.98500
     -22.84593       0.05152      -0.07367
     -22.72693       0.00012      -0.00021
     -22.60793       0.00000      -0.00000
     -22.48893       0.00000      -0.00000
     -22.36993       0.00000       0.00000
     -22.25093       0.00000       0.00000
     -22.13193       0.00000       0.00000
     -22.01293       0.00000       0.00000
     -21.89393       0.00000       0.00000
     -21.77493       0.00000       0.00000
     -21.65493       0.00000       0.00000
     -21.53593       0.00000       0.00000
     -21.41693       0.00000       0.00000
     -21.29793       0.00000       0.00000
     -21.17893       0.00000       0.00000
     -21.05993       0.00000       0.00000
     -20.94093       0.00000       0.00000
     -20.82193       0.00000       0.00000
     -20.70293       0.00000       0.00000
     -20.58393       0.00000      -0.00000
     -20.46493       0.00000      -0.00000
     -20.34493       0.00012      -0.00012
     -20.22593       0.02431      -0.02420
     -20.10693       0.52120      -0.52000
     -19.98793       1.87200      -1.87100
     -19.86893       2.43800      -2.43800
     -19.74993       2.46900      -2.46900
     -19.63093       2.45100      -2.45100
     -19.51193       2.46900      -2.46900
     -19.39293       2.47600      -2.47600
     -19.27393       2.48000      -2.48000
     -19.15493       2.48300      -2.48300
     -19.03493       2.48700      -2.48700
     -18.91593       2.49000      -2.49000
     -18.79693       2.49500      -2.49500
     -18.67793       2.49900      -2.49900
     -18.55893       2.50300      -2.50300
     -18.43993       2.50700      -2.50700
     -18.32093       2.51200      -2.51200
     -18.20193       2.51700      -2.51700
     -18.08293       2.52200      -2.52200
     -17.96393       2.52700      -2.52700
     -17.84493       2.53200      -2.53200
     -17.72493       2.53700      -2.53700
     -17.60593       2.54400      -2.54400
     -17.48693       2.55000      -2.55000
     -17.36793       2.55800      -2.55800
     -17.24893       2.56400      -2.56400
     -17.12993       2.56900      -2.56900
     -17.01093       2.57700      -2.57700
     -16.89193       2.59000      -2.59000
     -16.77293       2.59600      -2.59600
     -16.65393       2.60000      -2.60000
     -16.53493       2.61100      -2.61100
     -16.41493       2.63200      -2.63200
     -16.29593       2.64200      -2.64200
     -16.17693       2.64400      -2.64400
     -16.05793       2.67200      -2.67200
     -15.93893       2.69500      -2.69500
     -15.81993       2.69700      -2.69700
     -15.70093       2.73400      -2.73400
     -15.58193       2.77700      -2.77700
     -15.46293       2.78800      -2.78800
     -15.34393       2.85400      -2.85400
     -15.22493       2.94100      -2.94100
     -15.10493       3.02700      -3.02700
     -14.98593       3.29800      -3.29700
     -14.86693       3.75200      -3.75200
     -14.74793       3.46900      -3.47000
     -14.62893       2.71400      -2.71500
     -14.50993       2.21800      -2.21800
     -14.39093       1.86900      -1.87000
     -14.27193       1.65300      -1.65400
     -14.15293       1.41600      -1.41600
     -14.03393       1.20200      -1.20200
     -13.91493       1.09700      -1.09700
