 250 0.250000 -2.832000 95.373900 9.762730   -4.426900 93.382600 10.985300   
 500 0.500000 -3.075660 95.691800 9.909430   -4.901900 93.658900 10.554400   
 750 0.750000 -3.295080 95.789100 10.405100   -5.336680 94.022100 10.222200   
 1000 1.000000 -3.302210 95.687800 10.235200   -5.372700 94.040700 10.920900   
 1250 1.250000 -3.541840 95.642400 10.064900   -5.735050 93.722700 10.456600   
 1500 1.500000 -3.487580 95.601300 10.550900   -5.921310 93.964500 10.695700   
 1750 1.750000 -3.905520 95.496600 10.331300   -5.903730 93.694400 10.733400   
 2000 2.000000 -4.095420 95.151700 10.397500   -6.283350 93.402100 10.152900   
 2250 2.250000 -3.703790 95.123800 10.398300   -5.827120 93.455600 10.958700   
 2500 2.500000 -4.431220 95.010100 10.335200   -5.926260 92.697000 10.718300   
 2750 2.750000 -4.740770 95.149400 10.112600   -6.004790 92.589600 10.296700   
 3000 3.000000 -4.971380 94.988300 10.322400   -6.358360 92.526200 10.692700   
 3250 3.250000 -4.769850 94.562400 10.619700   -5.884510 91.944800 10.807600   
 3500 3.500000 -4.422050 94.558700 10.039300   -6.615280 92.874300 10.568900   
 3750 3.750000 -4.246550 94.707800 10.198600   -6.239450 93.134900 11.413200   
 4000 4.000000 -4.218790 95.501700 10.505800   -5.993250 93.401000 10.747100   
 4250 4.250000 -4.265170 95.624900 10.046200   -5.616030 93.550800 11.329000   
 4500 4.500000 -3.789410 95.492200 10.132300   -5.461800 93.424500 11.152200   
 4750 4.750000 -3.752420 95.545700 9.618240   -5.381210 93.883100 11.307100   
 5000 5.000000 -3.516750 95.694300 10.358100   -5.629310 93.846900 11.193200   
 5250 5.250000 -3.547600 95.388000 9.937750   -5.608780 93.727200 10.728100   
 5500 5.500000 -3.349300 95.009200 9.973930   -5.223440 93.328300 11.069200   
 5750 5.750000 -3.355080 95.055600 9.520160   -5.417270 93.226400 11.357900   
 6000 6.000000 -3.529670 94.938200 10.055600   -5.365890 93.180400 11.144700   
 6250 6.250000 -3.763550 94.733900 9.536580   -5.551150 93.300200 10.979000   
 6500 6.500000 -3.881900 94.921700 9.718880   -5.990940 93.022000 11.285200   
 6750 6.750000 -3.747390 94.713200 9.580500   -6.097740 93.123000 10.614800   
 7000 7.000000 -3.679240 94.837500 9.691960   -5.537640 93.087100 10.811600   
 7250 7.250000 -3.534130 94.912200 9.844160   -5.571420 93.246200 11.152200   
 7500 7.500000 -3.359180 94.681500 9.511720   -4.986820 92.756000 11.263700   
 7750 7.750000 -3.534890 94.531000 9.836710   -4.837010 92.304400 10.963400   
 8000 8.000000 -2.969010 94.723600 9.784090   -4.457650 92.446800 10.778000   
 8250 8.250000 -2.879300 95.150500 10.333400   -4.449590 93.072700 11.201000   
 8500 8.500000 -2.635330 95.372400 9.844260   -4.318860 93.424600 11.180400   
 8750 8.750000 -3.073350 95.605400 9.933580   -4.757180 93.899800 11.075200   
 9000 9.000000 -3.205860 95.451000 9.815960   -4.628010 92.842000 11.041400   
 9250 9.250000 -3.040050 95.443000 9.796780   -4.029990 92.899600 10.850900   
 9500 9.500000 -3.715020 95.931300 9.569790   -4.229150 93.238800 11.143100   
 9750 9.750000 -3.188830 96.284800 9.846620   -3.743740 93.888800 11.157200   
 10000 10.000000 -2.926590 96.771800 9.823490   -4.064060 94.499600 10.978900   
 10250 10.250000 -2.802850 96.425200 10.487800   -4.373320 94.266300 10.913000   
 10500 10.500000 -2.435360 95.989000 10.863900   -4.164650 93.921000 11.432800   
 10750 10.750000 -2.972860 96.225300 10.839000   -4.509490 93.896000 11.178700   
 11000 11.000000 -2.760120 96.293600 10.386400   -4.360270 94.088500 11.038700   
 11250 11.250000 -3.209230 96.843100 10.080600   -4.231660 94.526700 11.355700   
 11500 11.500000 -3.021080 96.553000 9.648630   -3.999490 94.239000 10.964500   
 11750 11.750000 -3.203730 96.037300 9.828710   -4.244090 94.025400 11.211600   
 12000 12.000000 -3.499070 95.727400 9.987390   -4.319250 93.319300 11.030900   
 12250 12.250000 -3.332090 95.685700 10.350200   -3.871240 93.013400 10.899000   
 12500 12.500000 -3.272840 95.266300 10.434000   -4.276170 92.613300 11.060200   
 12750 12.750000 -3.617340 95.213700 9.428040   -4.285360 92.655100 11.179900   
 13000 13.000000 -3.684470 95.107600 9.840780   -4.026890 92.659900 11.211900   
 13250 13.250000 -3.971840 95.229600 10.607000   -4.671530 92.327100 10.625100   
 13500 13.500000 -4.105280 94.805100 10.342400   -4.666720 92.349800 11.325500   
 13750 13.750000 -4.280900 94.779200 10.314100   -4.543000 91.965000 11.062300   
 14000 14.000000 -4.429270 95.019900 10.076000   -4.930750 92.209500 10.888400   
 14250 14.250000 -4.547020 95.283400 10.136900   -4.976600 92.374200 10.877100   
 14500 14.500000 -4.558080 94.961300 9.883810   -4.948810 92.140400 10.769200   
 14750 14.750000 -4.573920 94.880200 9.937910   -4.941420 92.233900 10.619400   
 15000 15.000000 -4.201150 95.575200 9.824850   -4.694680 92.753600 10.941500   
 15250 15.250000 -3.849540 95.590000 10.124300   -4.683990 92.844400 10.877600   
 15500 15.500000 -4.032070 96.008100 10.295600   -4.639200 92.927900 10.765400   
 15750 15.750000 -4.117660 96.021700 10.209700   -4.322890 93.095000 11.174600   
 16000 16.000000 -3.835570 95.309000 10.193700   -4.219940 92.461500 10.950100   
 16250 16.250000 -3.383920 95.093800 9.863990   -4.119510 92.592100 10.880200   
 16500 16.500000 -3.743790 95.235600 9.952150   -4.251750 92.734600 11.118000   
 16750 16.750000 -3.608500 95.776600 10.163300   -3.728770 93.040200 10.792700   
 17000 17.000000 -4.022870 96.070000 10.222000   -3.985720 93.029900 11.162300   
 17250 17.250000 -4.173800 96.085800 11.657400   -4.243330 93.357900 10.915600   
 17500 17.500000 -4.577090 96.296500 11.386000   -4.314150 93.514000 11.027300   
 17750 17.750000 -4.905250 96.128800 10.742900   -4.553000 93.373200 11.191700   
 18000 18.000000 -4.298140 95.623700 10.866400   -3.848160 92.915800 11.108700   
 18250 18.250000 -4.046890 96.160700 10.887700   -3.558910 93.331000 11.397900   
 18500 18.500000 -3.702190 96.623700 11.136300   -3.149760 94.000500 11.244700   
 18750 18.750000 -4.098530 96.310900 11.129100   -3.314670 93.659200 11.352600   
